id,name,artists,album,release_date,energy,danceability,popularity,keywords
0WdbnNKO0Jt4BZACSDQh44,"Ghungroo (From ""War"")","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")",2019-09-30,0.727,0.695,66,"['ghungroo', 'ke', 'toot', 'gaye', 'song', 'ki', 'àààààà', 'hai', 'nahi', 'se']"
6EKY8rpjaBxxB0WbXJhedU,"Chedkhaniyan (From ""Shehzada"")","Pritam, Arijit Singh, Nikhita Gandhi, IP Singh, Shloke Lal","Chedkhaniyan (From ""Shehzada"")",2023-01-24,0.876,0.716,49,"['chedkhaniyan', 'song', 'haaye', 'mithi', 'teri', 'nu', 'ho', 'seene', 'vich', 'yaara']"
46hzNOUOAlivuCZZ0wE3zi,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Varun Jain, Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023-05-22,0.717,0.762,66,"['zara', 'tere', 'hatke', 'bachke', 'laaunga', 'vaaste', 'song', 'hmm', 'janaabeaali', 'se']"
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")","Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar","Chaleya (From ""Jawan"")",2023-08-14,0.845,0.575,74,"['hai', 'ho', 'chaleya', 'main', 'song', 'dil', 'tere', 'ke', 'tera', 'gaya']"
5QW9K4A1gMnIi94YUxtsfM,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",2023-05-16,0.552,0.556,68,"['tu', 'zara', 'hi', 'phir', 'aur', 'kya', 'chaahiye', 'hatke', 'bachke', 'chahiye']"
6FAYpZ4jve8vpvTwUvjK6H,Jhoome Jo Pathaan,"Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",Pathaan,2022-12-22,0.738,0.817,66,"['pathaan', 'jhoome', 'jo', 'song', 'mp3', 'vishalshekhar', 'download', 'songs', 'music', 'hindi']"
432leZkBmxF6si4ftPOOdn,Ghar More Pardesiya (Kalank),"Pritam, Shreya Ghoshal",Kalank (Original Motion Picture Soundtrack),2019-04-14,0.982,0.703,53,"['ghar', 'pardesiya', 'song', 'mp3', 'pritam', 'download', 'songs', 'music', 'kalank', 'original']"
7ttlemwytO21npSmLKqTBg,Aashiyan,"Pritam, Shreya Ghoshal, Nikhil Paul George",Barfi! (Original Motion Picture Soundtrack),2012-06-24,0.622,0.829,55,"['ààààà', 'aashiyan', 'barfi', 'song', 'ààààà¾à', 'mp3', 'pritam', 'download', 'songs', 'music']"
5FLgOuLoVwwUUF7IL36Lux,Apna Time Aayega,"DIVINE, Ranveer Singh, Dub Sharma",Gully Boy (Original Motion Picture Soundtrack),2019-01-24,0.618,0.766,52,"['apna', 'time', 'aayega', 'song', 'à', 'àªàà¾', 'àà¾àà', 'àààà¾', 'mp3', 'ranveer']"
4ZTx87kAgEwlPMzoojFZWg,Tera Yaar Hoon Main,"Rochak Kohli, Arijit Singh",Sonu Ke Titu Ki Sweety,2018-02-14,0.541,0.559,66,"['main', 'hoon', 'yaar', 'tera', 'song', 'tu', 'hellip', 'hai', 'toh', 'mp3']"
7fpWJr5shT90KiCHXKHxch,Phir Le Aya Dil - Reprise,"Pritam, Arijit Singh",Barfi! (Original Motion Picture Soundtrack),2012-06-24,0.543,0.237,65,"['phir', 'le', 'aya', 'dil', 'barfi', 'reprise', 'song', 'mp3', 'pritam', 'download']"
5R8Tc8molt3mbSaqZ77dby,"Shaabaashiyaan - From ""Mission Mangal""","Shilpa Rao, Anand Bhaskar, Abhijeet Srivastava",Mission Mangal (Original Motion Picture Soundtrack),2019-09-12,0.542,0.453,52,"['shaabaashiyaan', 'song', 'àà¾àà¾àààà¾à', 'mp3', 'shilpa', 'rao', 'download', 'songs', 'music', 'independence']"
44s89Uq1jWns9mlzIa5sXb,Panchhi Soor Main Gaate Hain,Udit Narayan,Sirf Tum,1999-03-12,0.743,0.752,45,"['hai', 'hain', 'gaate', 'ye', 'panchhi', 'soor', 'main', 'song', 'ho', 'jaise']"
7fdD5f9p25QUYYJ1RmGJvg,Are Are Are,"KK, G. Sahithi",Makkhi,2012-10-06,0.405,0.663,42,"['kaise', 'kab', 'kahan', 'ho', 'gaya', 'jane', 'iqrar', 'song', 'hum', 'hi']"
6B4YLHWkyJxoDuiYsZAysD,Thoda Hans Ke,Anuj Gurwara,Makkhi,2012-10-06,0.644,0.45,23,"['ru', 'thoda', 'ke', 'hans', 'tu', 'song', 'hai', 'jo', 'kahe', 'ra']"
4blqlsA1uf2d2I40E90EUC,"Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")",2022-08-04,0.522,0.589,71,"['tere', 'hawaale', 'song', 'bhi', 'hai', 'tera', 'kar', 'diya', 'mera', 'tu']"
5HGXuAy0YA1GBRkAny0cvV,Prem Ratan Dhan Payo,Palak Muchhal,Prem Ratan Dhan Payo,2015-10-10,0.922,0.451,49,"['payo', 'prem', 'ratan', 'dhan', 'song', 'àªàààà', 'ààà', 'àà', 'àªà¾àà', 'ki']"
28Rpdw01WjsAKer8ZuEwo6,Jalte Diye,"Anweshaa, Vineet Singh, Harshdeep Kaur, Shabab Sabri",Prem Ratan Dhan Payo,2015-10-10,0.608,0.581,52,"['mein', 'diye', 'saaye', 'jalte', 'song', 'hain', 'tere', 'aaja', 'jal', 'bitani']"
7Bnc9gWHdjZAmjSuTY42CJ,Aashiqui Aa Gayi,"Mithoon, Arijit Singh",Radhe Shyam,2022-03-12,0.495,0.527,50,"['ho', 'gayi', 'aa', 'aashiqui', 'hindi', 'song', 'ke', 'humein', 'songs', 'download']"
5EqebeDhCvMolO1FovpaDx,Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",Dulhan Hum Le Jayenge - Original Motion Picture Soundtrack,2000-01-15,0.952,0.515,41,"['dulhan', 'hum', 'le', 'jayenge', 'original', 'motion', 'picture', 'soundtrack', 'songs', 'album']"
1ehcL8Z83KH6IFPioCiaQ9,Hai Na Bolo,"Alka Yagnik, Kumar Sanu",Dulhan Hum Le Jayenge - Original Motion Picture Soundtrack,2000-01-15,0.829,0.381,38,"['hai', 'na', 'bolo', 'gaya', 'ho', 'hote', 'song', 'à¹à', 'àà¾', 'ààà²à']"
5Ggb9pKiKcr5vNV9v1e1vs,"Tumhare Hi Rahenge Hum (From ""Stree 2"")","Sachin-Jigar, Shilpa Rao, Varun Jain, Amitabh Bhattacharya","Tumhare Hi Rahenge Hum (From ""Stree 2"")",2024-08-06,0.516,0.674,67,"['tumhare', 'hi', 'rahenge', 'hum', 'stree', '2', 'song', 'mp3', 'sachinjigar', 'download']"
2IuSvQi2TPRP6PC39ZEwiR,Shunya Se Alakh Tak,Physics Wallah,Shunya Se Alakh Tak,2023-04-14,0.789,0.764,21,"['shunya', 'se', 'alakh', 'tak', 'song', 'mp3', 'physics', 'wallah', 'download', 'songs']"
1o8YPl0hyGbpRcHplXNvsm,"Khoobsurat (From ""Stree 2"")","Sachin-Jigar, Vishal Mishra, Amitabh Bhattacharya","Khoobsurat (From ""Stree 2"")",2024-08-09,0.584,0.596,68,"['aayi', 'nai', 'nahi', 'mein', 'stree', '2', 'song', 'kheton', 'tu', 'kaati']"
3VrzwJ3Swq9vnq6IM9trw4,Mor Bani Thanghat Kare,"Osman Mir, Aditi Paul, Siddharth - Garima",Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),2013-10-15,0.815,0.569,48,"['mor', 'bani', 'thanghat', 'kare', 'song', 'mp3', 'osman', 'mir', 'download', 'songs']"
2YmXGUx32C3CUEgcAyHcGf,"Srivalli (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad, Sid Sriram, Chandra Bose","Srivalli (From ""Pushpa - The Rise"")(Telugu)",2021-10-13,0.581,0.82,56,"['01', 'à', 'àààà', 'pushpa', 'rise', 'part', 'mashupremix', 'dj', 'abhi', 'india']"
2cDyQDAoP0cPQXzaviXu2f,Vellake,"Bharatt-Saurabh, Yazin Nizar, Anirudh Ravichander",Vellake,2023-05-12,0.626,0.652,64,"['vellake', 'song', 'mp3', 'bharattsaurabh', 'download', 'songs', 'music', 'hindi', 'english', 'bollywood']"
1nVfKKeiNFWGjCerBuQgGD,"Maangalyam - From ""Bangalore Days""","Gopi Sundar, Vijay Yesudas, Sachin Warrier, Divya S Menon",Bangalore Days,2014-05-12,0.865,0.894,50,"['maangalyam', 'song', 'pinne', 'àààà²àµàà', 'thananena', 'jeevitham', 'thumthananena', 'koodu', 'thudakkam', 'mp3']"
4ra6Vnyv8wMexnhIdp3Lsb,Yaro Yarodi,"Mahalakshmi Iyer, Vaishali, Richa Sharma",Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0.299,0.83,36,"['yaro', 'yarodi', 'song', 'mp3', 'mahalakshmi', 'iyer', 'download', 'songs', 'music', 'alaipayuthey']"
36A3x0sPYGUyz24SZfjtOb,Aga Naga,"A.R. Rahman, Shakthisree Gopalan",Ponniyin Selvan Part-2 (Original Motion Picture Soundtrack),2023-03-29,0.354,0.534,4,"['ponniyin', 'selvan', 'aga', 'naga', 'part2', 'song', 'mp3', 'r', 'rahman', 'download']"
0NapkeC45rszeuSgbvcjx4,Maan Meri Jaan (Afterlife),"King, Nick Jonas",Maan Meri Jaan (Afterlife),2023-03-10,0.591,0.62,55,"['maan', 'meri', 'jaan', 'song', 'mp3', 'king', 'download', 'songs', 'music', 'champagne']"
7rlCMRioM2TkdhHdnXCpsr,"He’s Soo Cute (From ""Sarileru Neekevvaru"")",Madhu Priya,"He’s Soo Cute (From ""Sarileru Neekevvaru"")",2019-12-16,0.801,0.82,0,"['ki', 'aaj', 'raat', 'stree', '2', 'song', 'le', 'jaan', 'maza', 'husn']"
1smFN2CLqGROu0J0UyvDfL,Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),2020-02-14,0.468,0.483,73,"['àààà', 'shayad', 'remix', 'dj', 'chetas', 'song', 'àà¾àà', 'ààààààà', 'àà¾à', 'mp3']"
